employee_id,age,experience_years,role,work_hours_per_day,days_worked_per_week,overtime_hours,lunch_break_minutes,coffee_breaks_per_day,punctuality_score,attendance_rate,late_arrivals,biometric_match_score,emails_sent,emails_received,email_response_time,after_hours_emails,meetings_per_week,meeting_hours,meeting_acceptance_rate,declined_meetings,focus_time_hours,messages_sent,messages_received,after_hours_messages,response_time_minutes,reactions_given,status_available_percentage,status_busy_percentage,status_away_percentage,commits_per_week,prs_created,prs_reviewed,code_review_time_hours,pr_merge_rate,avg_pr_size_lines,github_pr_merge_time,tasks_assigned,tasks_completed_per_week,task_completion_rate,overdue_tasks,avg_task_completion_time,hours_logged,projects_active,context_switches_per_day,bugs_reported,bugs_fixed,document_edits,shared_files,work_pattern_consistency,after_hours_activity_ratio,communication_balance,meeting_to_work_ratio,code_commit_consistency,task_velocity,collaboration_score,peer_interaction_frequency,message_after_hours_ratio,email_after_hours_ratio,weekend_work_hours,daily_active_hours,work_life_balance_score,days_off_taken,sick_days,tools_used,tool_switch_frequency,training_hours,documentation_contributions,team_size,one_on_ones_conducted,deliverables_completed,quality_score,average_email_length,average_message_length,sentiment_email_score,sentiment_chat_score,voluntary_contributions,initiative_score,unique_contacts_per_week,cross_team_interactions,code_review_comments_received,refactoring_commits,blocked_time_hours,dependency_wait_time_hours,new_ideas_proposed,experiments_run,avg_first_response_time_hours,response_rate,meeting_preparation_score,meeting_participation_score,interruptions_per_day,deep_work_blocks,concurrent_tasks,task_switching_rate,urgent_tasks_percentage,tasks_completed_early,mentor_hours_per_week,knowledge_base_contributions,process_compliance_score,documentation_quality_score,morning_productivity_score,afternoon_productivity_score,informal_chats_per_week,team_engagement_score,self_directed_work_percentage,decision_making_authority_score,feedback_received_count,feedback_given_count,new_technologies_learned,skill_utilization_score,burnout_risk_score,wellbeing_score,efficiency_score
EMP001,35,13,Developer,9.07,5,0.5,45,1,91.55,99.99,0,99.39,29,59,1.73,1,6,4.4,89.42,0,7.44,50,89,5,6.65,34,69.72,17.71,12.58,12,1,1,0.77,91.1,56,7.79,3,3,100.0,0,30.0,37.66,2,7.13,6,4,2,1,70.92,0.075,1.67,0.4848,0.88,0.0662,12.0,17.0,0.098,0.0333,0.0,9.17,90.65,1,1,7,94.5,0.3,0,0,0,3.5,72.97,190.31,25.32,47.2,57.11,3,67.77,5,2,5,1,0.06,1.95,0,0,1.13,82.13,84.12,61.17,6,3,1,0.7857,17.32,0,0.07,0,74.02,78.72,57.94,78.81,3,43.55,70.82,46.37,1,0,0,47.84,0.31,65.1,68.6
EMP002,45,11,Developer,8.07,5,13.17,45,2,82.14,89.62,1,98.01,15,34,15.4,0,2,2.1,70.78,0,6.9,19,38,5,2.39,11,69.89,11.87,18.24,2,1,1,1.37,82.4,22,7.19,2,1,50.0,0,30.0,43.43,4,18.98,1,1,7,2,89.07,0.1429,1.19,0.2598,0.67,0.0248,4.67,6.2,0.25,0.0,5.57,10.71,78.35,2,0,5,74.5,0.08,2,0,0,1.5,51.86,252.53,44.68,56.77,67.15,1,63.85,0,0,2,0,0.22,1.6,1,0,8.46,75.33,51.68,83.15,2,3,3,2.3512,30.88,0,0.06,0,95.12,46.45,75.2,27.43,0,42.29,48.73,57.47,0,0,0,59.53,0.4327,76.15,42.5
EMP003,35,3,Manager,7.01,5,4.1,45,1,85.65,90.91,1,94.88,24,28,3.09,3,5,4.62,57.75,2,5.34,38,74,12,1.59,22,75.9,14.76,9.34,0,0,1,0.5,0.0,0,0.0,5,4,80.0,0,10.88,25.3,4,18.17,3,2,3,2,58.27,0.2381,1.52,0.6582,0.0,0.114,8.33,12.2,0.3077,0.12,0.0,7.84,100.0,3,0,5,69.59,0.08,1,0,0,4.0,83.82,227.05,29.27,87.12,56.72,5,79.82,12,4,0,0,0.19,0.88,2,1,1.13,89.31,81.03,70.78,3,2,2,2.5897,21.65,1,0.0,0,78.14,80.72,53.22,30.55,4,47.97,33.18,49.62,3,1,0,75.28,0.2091,81.36,7.47
EMP004,25,3,Developer,8.79,5,10.2,60,2,91.58,89.39,0,93.99,6,41,28.41,0,0,0.0,98.07,0,7.79,47,65,15,10.29,16,59.04,19.18,21.78,7,1,4,1.56,67.78,702,5.72,3,1,33.33,0,11.79,33.88,1,2.36,1,0,17,2,62.84,0.2778,6.71,0.0,0.62,0.0228,7.33,13.4,0.3125,0.0,3.17,10.83,77.35,1,0,4,34.82,0.33,1,0,0,1.5,92.97,183.03,14.29,96.84,66.9,1,41.84,2,0,6,1,0.07,1.16,0,1,12.57,80.83,61.76,62.32,3,3,2,0.2687,39.47,0,0.0,0,60.74,54.42,47.64,26.42,5,52.48,36.72,67.62,2,1,3,73.2,0.3064,73.59,52.51
EMP005,42,14,Manager,8.64,5,0.93,30,2,72.87,93.88,2,92.83,10,9,27.05,1,0,0.0,69.01,0,8.14,28,60,7,4.5,9,74.99,19.88,5.13,0,0,2,1.0,0.0,0,0.0,5,4,80.0,0,30.0,38.9,2,6.92,2,2,2,4,94.09,0.2051,2.55,0.0,0.0,0.0926,5.0,7.8,0.2414,0.0909,0.0,8.82,93.42,0,0,7,44.74,0.05,0,3,3,4.0,57.39,67.23,13.09,77.42,70.15,1,71.25,8,1,0,0,0.27,0.16,1,1,14.36,71.43,62.17,62.24,3,4,2,0.801,21.92,1,0.48,0,95.48,64.42,60.43,6.92,2,51.41,71.99,40.41,0,1,0,73.68,0.2489,83.44,3.62
EMP006,32,2,Developer,7.23,5,1.04,30,1,43.2,86.04,5,88.89,7,52,2.15,0,7,6.48,75.86,1,5.44,10,13,3,7.53,1,59.53,10.37,30.1,9,2,0,0.0,82.16,240,3.31,6,4,66.67,0,10.62,27.71,2,4.5,2,1,5,0,75.43,0.1667,1.25,0.8957,0.69,0.1106,0.33,2.2,0.2727,0.0,0.0,7.44,100.0,0,0,5,27.57,0.34,1,3,3,5.0,78.93,222.1,27.39,57.89,90.95,1,79.05,4,1,13,2,0.59,0.74,0,2,1.25,82.39,57.75,73.8,0,2,2,0.6219,34.87,0,0.0,0,91.97,70.2,27.09,44.85,3,82.19,61.38,33.11,0,0,0,73.55,0.097,82.68,60.66
EMP007,40,12,QA Engineer,7.72,5,4.91,60,2,87.22,79.45,1,86.74,12,22,17.72,2,6,6.11,53.72,2,5.5,32,57,8,7.37,18,51.22,27.9,20.88,0,0,2,1.0,0.0,0,0.0,1,0,0.0,0,8.89,40.19,1,2.99,3,1,4,2,58.46,0.2222,2.46,0.7912,0.0,0.0,7.33,10.4,0.2424,0.1538,0.0,8.7,94.37,1,1,5,68.41,0.14,0,0,0,0.0,82.26,224.75,17.57,77.21,71.98,1,82.08,3,0,0,0,0.92,0.58,0,1,6.55,90.08,27.04,58.86,4,2,1,0.3868,10.03,0,0.19,1,61.57,60.65,48.05,31.97,1,84.0,30.89,33.74,0,1,0,60.54,0.208,85.93,0.02
EMP008,32,2,Manager,7.96,5,5.72,45,2,51.21,99.31,4,91.97,11,23,48.0,2,4,2.04,97.62,0,6.81,16,33,4,5.58,5,55.86,12.09,32.05,0,0,1,0.5,0.0,0,0.0,12,11,91.67,0,21.13,33.28,3,6.72,4,4,3,2,72.12,0.2143,1.33,0.256,0.0,0.2762,2.67,4.4,0.2353,0.1667,2.29,9.11,91.12,0,0,4,59.85,1.84,1,0,0,11.0,95.15,235.68,27.02,77.8,56.6,3,78.33,13,3,0,0,0.63,3.38,0,0,33.05,86.71,41.26,44.55,1,3,2,0.8439,19.76,5,0.0,0,70.17,81.85,50.25,50.01,2,69.44,35.6,60.14,0,0,0,59.92,0.0474,89.14,7.26
EMP009,45,15,Senior Developer,9.01,5,0.66,30,3,72.71,96.54,2,98.97,21,14,14.11,5,4,5.18,71.57,1,7.48,44,61,11,45.39,11,80.33,29.87,-10.19,6,1,3,3.65,71.97,198,5.4,1,0,0.0,0,8.76,42.54,2,6.28,3,1,1,3,93.61,0.2424,2.0,0.5749,0.76,0.0,5.67,11.6,0.2444,0.2273,0.0,9.15,90.83,0,1,5,66.12,0.28,1,12,12,0.5,92.98,98.64,16.65,37.65,80.6,3,47.92,6,2,3,1,0.28,1.76,0,1,7.58,82.11,59.15,68.81,4,3,3,0.697,14.49,0,0.05,0,48.28,49.67,64.6,33.58,6,79.31,75.28,35.67,1,1,0,60.22,0.3879,74.46,38.55
EMP010,40,12,Developer,9.97,6,11.62,45,2,72.71,85.33,2,87.91,7,30,34.86,1,1,0.73,76.6,0,9.1,52,104,6,8.51,33,54.47,26.52,19.01,11,2,6,4.39,60.03,132,54.29,4,4,100.0,0,29.58,64.16,1,4.45,5,2,1,1,71.58,0.1167,6.5,0.0737,0.94,0.0668,13.33,15.17,0.1132,0.125,6.61,11.91,68.72,0,0,6,40.49,0.35,1,0,0,5.0,82.28,176.54,27.58,80.23,51.81,1,47.82,6,2,15,2,0.48,0.61,1,0,12.28,68.93,74.86,65.8,4,4,3,0.4464,14.11,1,0.07,0,68.96,49.35,38.42,50.97,7,51.11,62.97,51.44,1,2,0,82.91,0.4224,65.44,72.58
